date_time,temp,Weekday,traffic_volume
2015-06-25 04:00:00,291.093,1.0,-571
2015-06-25 05:00:00,291.093,1.0,-571
2015-06-25 06:00:00,291.093,1.0,-5482
2015-06-25 07:00:00,291.093,1.0,-5049
2015-06-25 08:00:00,291.093,1.0,-4745
2015-06-25 09:00:00,291.093,1.0,-4745
2015-06-25 10:00:00,291.093,1.0,-4371
2015-06-25 11:00:00,291.093,1.0,-4595
2015-06-25 12:00:00,291.093,1.0,-4595
2015-06-25 13:00:00,299.34,1.0,116
2015-06-25 14:00:00,299.53,1.0,17
2015-06-25 15:00:00,299.9,1.0,292
2015-06-25 16:00:00,299.8,1.0,-116
2015-06-25 17:00:00,299.52,1.0,-397
2015-06-25 18:00:00,299.52,1.0,1338
2015-06-25 19:00:00,298.52,1.0,465
2015-06-25 20:00:00,297.46,1.0,179
2015-06-25 21:00:00,295.25,1.0,260
2015-06-25 22:00:00,293.36,1.0,350
2015-06-25 23:00:00,292.11,1.0,302
2015-06-26 00:00:00,291.4,1.0,103
2015-06-26 01:00:00,290.54,1.0,-267
2015-06-26 02:00:00,290.35,1.0,50
2015-06-26 03:00:00,290.35,1.0,32
2015-06-26 04:00:00,289.83,1.0,514
2015-06-26 05:00:00,289.32,1.0,2383
2015-06-26 06:00:00,289.55,1.0,5236
2015-06-26 07:00:00,289.55,1.0,5236
2015-06-26 08:00:00,291.77,1.0,4679
2015-06-26 09:00:00,291.77,1.0,4679
2015-06-26 10:00:00,295.3,1.0,4076
2015-06-26 11:00:00,296.8,1.0,4149
2015-06-26 12:00:00,296.8,1.0,4149
2015-06-26 13:00:00,299.0,1.0,-803
2015-06-26 14:00:00,299.33,1.0,-146
2015-06-26 15:00:00,299.5,1.0,-289
2015-06-26 16:00:00,299.64,1.0,-275
2015-06-26 17:00:00,298.27,1.0,-677
2015-06-26 18:00:00,296.23,1.0,-1580
2015-06-26 19:00:00,295.88,1.0,-231
2015-06-26 20:00:00,294.59,1.0,-82
2015-06-26 21:00:00,292.7,1.0,252
2015-06-26 22:00:00,291.36,1.0,569
2015-06-26 23:00:00,290.23,1.0,595
2015-06-27 00:00:00,289.44,0.0,603
2015-06-27 01:00:00,289.0,0.0,334
2015-06-27 02:00:00,288.65,0.0,288
2015-06-27 03:00:00,288.08,0.0,68
2015-06-27 04:00:00,287.44,0.0,-353
2015-06-27 05:00:00,287.16,0.0,-1888
2015-06-27 06:00:00,286.92,0.0,-4217
2015-06-27 07:00:00,289.03,0.0,-3540
2015-06-27 08:00:00,291.98,0.0,-2331
2015-06-27 09:00:00,294.11,0.0,-1550
2015-06-27 10:00:00,295.81,0.0,-521
2015-06-27 11:00:00,297.47,0.0,-523
2015-06-27 12:00:00,298.85,0.0,-106
2015-06-27 13:00:00,299.45,0.0,-166
2015-06-27 14:00:00,300.26,0.0,-885
2015-06-27 15:00:00,300.55,0.0,-1547
2015-06-27 16:00:00,300.76,0.0,-2027
2015-06-27 17:00:00,300.44,0.0,-1276
